Date : 2023-07-14 17:38:26
Directory : /Users/paul/Documents/GitHub/Teleoscope/frontend/components
Total : 83 files,  7869 codes, 170 comments, 769 blanks, all 8808 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/paul/Documents/GitHub/Teleoscope/frontend/components/Snippet.tsx                        | TypeScript JSX |         19 |          1 |          2 |         22 |
| /Users/paul/Documents/GitHub/Teleoscope/frontend/components/Teleoscope.tsx                     | TypeScript JSX |         27 |          4 |         10 |         41 |
| /Users/paul/Documents/GitHub/Teleoscope/frontend/components/TeleoscopeLogo.tsx                 | TypeScript JSX |         38 |          1 |          3 |         42 |
| /Users/paul/Documents/GitHub/Teleoscope/frontend/components/Teleoscopes.tsx                    | TypeScript JSX |         73 |          4 |         15 |         92 |
| /Users/paul/Documents/GitHub/Teleoscope/frontend/components/TopBar.tsx                         | TypeScript JSX |         71 |          2 |         15 |         88 |
| /Users/paul/Documents/GitHub/Teleoscope/frontend/components/WindowFolder/CloseButton.tsx       | TypeScript JSX |         16 |          2 |          3 |         21 |
| /Users/paul/Documents/GitHub/Teleoscope/frontend/components/WindowFolder/Window.tsx            | TypeScript JSX |         79 |          6 |          8 |         93 |
| /Users/paul/Documents/GitHub/Teleoscope/frontend/components/WindowFolder/WindowDefinitions.tsx | TypeScript JSX |        293 |          3 |         27 |        323 |
| /Users/paul/Documents/GitHub/Teleoscope/frontend/components/WindowFolder/WindowFactory.tsx     | TypeScript JSX |         33 |          0 |          6 |         39 |
| /Users/paul/Documents/GitHub/Teleoscope/frontend/components/WindowFolder/WindowTopBar.tsx      | TypeScript JSX |         22 |          3 |          5 |         30 |
| Total                                                                                          |                |      7,869 |        170 |        769 |      8,808 |
+------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
