"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Documents/DocumentTitle.tsx", "TypeScript JSX", 16, 0, 0, 2, 3, 21
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/DropItem.tsx", "TypeScript JSX", 16, 0, 0, 0, 3, 19
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/EditableText.tsx", "TypeScript JSX", 35, 0, 0, 3, 5, 43
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/FABMenu.tsx", "TypeScript JSX", 79, 0, 0, 4, 13, 96
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Flow/Flow.tsx", "TypeScript JSX", 279, 0, 0, 6, 62, 347
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Flow/FlowFABWrapper.tsx", "TypeScript JSX", 10, 0, 0, 0, 1, 11
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Flow/FlowProviderWrapper.tsx", "TypeScript JSX", 9, 0, 0, 0, 3, 12
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Flow/FlowUIComponents.tsx", "TypeScript JSX", 14, 0, 0, 0, 2, 16
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Flow/FlowWrapper.tsx", "TypeScript JSX", 52, 0, 0, 0, 7, 59
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Groups/Group.tsx", "TypeScript JSX", 43, 0, 0, 3, 7, 53
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Groups/GroupActions.tsx", "TypeScript JSX", 72, 0, 0, 0, 9, 81
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Groups/GroupSelector.tsx", "TypeScript JSX", 88, 0, 0, 4, 15, 107
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Groups/Groups.tsx", "TypeScript JSX", 134, 0, 0, 3, 23, 160
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Groups/GroupsActions.tsx", "TypeScript JSX", 74, 0, 0, 1, 11, 86
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/HelpMenu.tsx", "TypeScript JSX", 38, 0, 0, 1, 10, 49
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Highlighter.tsx", "TypeScript JSX", 26, 0, 0, 1, 9, 36
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/ItemList.tsx", "TypeScript JSX", 60, 0, 0, 1, 10, 71
"/Users/paul/Documents/GitHub/Teleoscope/frontend/components/Keylogger.tsx", "TypeScript JSX", 9, 0, 0, 0, 5, 14
